Event.ID,Person,Festival,Discipline,Date Range,Earliest Date,Latest Date,Achievement,Reference
1948, ([fluteplayer]),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.1, 550 = IAG 81"
1947, ([fluteplayer]),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.1, 550 = IAG 81"
1936,Marcus Aurelius [...]lon from Ankyra (Galatia),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.4, 476"
1915,Marcus Aurelius [...]lon from Ankyra (Galatia),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.4, 476"
1907,Marcus Aurelius Asklepiades from Alexandria (Egypt),Isthmia in Corinth (Corinthia),combat sports: pankration - ___,179,179,181,V,IG XIV 1102 = IGUR 240 = IAG 79
1880,Titus Aelius Aureli<an>us Theodotos son of Rufus Philadelphos from Nikomedeia (Bithynia),Isthmia in Corinth (Corinthia),musical: aulesis - ___,175 (?) - ca. 250 (between the start of the Komodeia Olympia in Smyrna and the possible end of the Isthmia) (Farrington),175,250,V,"F.Delphes III.6, 143 = TAM IV.1, 34 = CIG 1720 = BCH 126 (2002), pp. 104-109"
1879,Titus Aelius Aureli<an>us Theodotos son of Rufus Philadelphos from Nikomedeia (Bithynia),Isthmia in Corinth (Corinthia),musical: aulesis - ___,175 (?) - ca. 250 (between the start of the Komodeia Olympia in Smyrna and the possible end of the Isthmia) (Farrington),175,250,V,"F.Delphes III.6, 143 = TAM IV.1, 34 = CIG 1720 = BCH 126 (2002), pp. 104-109"
1868, ([isthmionikes]),Isthmia in Corinth (Corinthia),,between 165 and ca. 250 (possible end of the Isthmia) (Farrington),165,250,V,"F.Delphes III.4, 477"
1867, ([isthmionikes]),Isthmia in Corinth (Corinthia),,between 165 and ca. 250 (possible end of the Isthmia) (Farrington),165,250,V,"F.Delphes III.4, 477"
1861,Marcus Aurelius Koros from Thyateira (Lydia),Isthmia in Corinth (Corinthia),combat sports: pankration - ageneioi,164-166 CE (Farrington),164,166,V,CIG 3674 = IMT 1496
1833, ([pantomime?]) from Magnesia on the Meander (Ionia),Isthmia in ___,,"Inscription date between 177 and 190, carreer started ca. 130 (Farrington, see note 692)",130,190,V,I.Magnesia 192
